Date,Category,Amount,Type
2020-03-07 23:57:07.084723,Rent,912.85,Expense
2020-03-09 05:11:14.849899,Salary,5616.24,Income
2020-03-10 10:25:22.615076,Utilities,438.3,Expense
2020-03-11 15:39:30.380253,Other,109.55,Expense
2020-03-12 20:53:38.145430,Salary,5078.68,Income
2020-03-14 02:07:45.910607,Other,450.12,Expense
2020-03-15 07:21:53.675783,Rent,877.04,Expense
2020-03-16 12:36:01.440960,Travel,968.79,Expense
2020-03-17 17:50:09.206137,Other,433.15,Expense
2020-03-18 23:04:16.971314,Food & Drink,265.16,Expense
2020-03-20 04:18:24.736490,Entertainment,126.61,Expense
2020-03-21 09:32:32.501667,Food & Drink,182.06,Expense
2020-03-22 14:46:40.266844,Salary,4646.41,Income
2020-03-23 20:00:48.032021,Shopping,357.45,Expense
2020-03-25 01:14:55.797198,Rent,1480.25,Expense
2020-03-26 06:29:03.562374,Salary,4503.56,Income
2020-03-27 11:43:11.327551,Shopping,164.42,Expense
2020-03-28 16:57:19.092728,Rent,825.82,Expense
2020-03-29 22:11:26.857905,Utilities,261.29,Expense
2020-03-31 03:25:34.623082,Food & Drink,153.75,Expense
2020-04-01 08:39:42.388258,Salary,4479.12,Income
2020-04-02 13:53:50.153435,Food & Drink,254.94,Expense
2020-04-03 19:07:57.918612,Salary,4484.11,Income
2020-04-05 00:22:05.683789,Health & Fitness,385.58,Expense
2020-04-06 05:36:13.448965,Travel,1510.79,Expense
2020-04-07 10:50:21.214142,Rent,1242.61,Expense
2020-04-08 16:04:28.979319,Utilities,277.17,Expense
2020-04-09 21:18:36.744496,Food & Drink,420.95,Expense
2020-04-11 02:32:44.509673,Rent,930.56,Expense
2020-04-12 07:46:52.274849,Food & Drink,303.63,Expense
2020-04-13 13:01:00.040026,Health & Fitness,27.96,Expense
2020-04-14 18:15:07.805203,Shopping,128.72,Expense
2020-04-15 23:29:15.570380,Utilities,103.7,Expense
2020-04-17 04:43:23.335557,Health & Fitness,205.63,Expense
2020-04-18 09:57:31.100733,Salary,4275.04,Income
2020-04-19 15:11:38.865910,Rent,879.43,Expense
2020-04-20 20:25:46.631087,Salary,5754.68,Income
2020-04-22 01:39:54.396264,Rent,1261.99,Expense
2020-04-23 06:54:02.161440,Other,286.5,Expense
2020-04-24 12:08:09.926617,Shopping,136.09,Expense
2020-04-25 17:22:17.691794,Food & Drink,450.66,Expense
2020-04-26 22:36:25.456971,Salary,5266.2,Income
2020-04-28 03:50:33.222148,Rent,1044.45,Expense
2020-04-29 09:04:40.987324,Investment,450.61,Expense
2020-04-30 14:18:48.752501,Salary,5559.75,Income
2020-05-01 19:32:56.517678,Utilities,60.39,Expense
2020-05-03 00:47:04.282855,Travel,1817.4,Expense
2020-05-04 06:01:12.048032,Utilities,24.41,Expense
2020-05-05 11:15:19.813208,Food & Drink,338.48,Expense
2020-05-06 16:29:27.578385,Food & Drink,97.19,Expense
2020-05-07 21:43:35.343562,Shopping,352.11,Expense
2020-05-09 02:57:43.108739,Health & Fitness,127.65,Expense
2020-05-10 08:11:50.873915,Health & Fitness,133.88,Expense
2020-05-11 13:25:58.639092,Rent,1322.54,Expense
2020-05-12 18:40:06.404269,Utilities,427.63,Expense
2020-05-13 23:54:14.169446,Health & Fitness,292.79,Expense
2020-05-15 05:08:21.934623,Food & Drink,196.5,Expense
2020-05-16 10:22:29.699799,Rent,970.79,Expense
2020-05-17 15:36:37.464976,Salary,4786.2,Income
2020-05-18 20:50:45.230153,Salary,5262.28,Income
2020-05-20 02:04:52.995330,Other,261.27,Expense
2020-05-21 07:19:00.760507,Utilities,256.41,Expense
2020-05-22 12:33:08.525683,Travel,1500.41,Expense
2020-05-23 17:47:16.290860,Rent,817.02,Expense
2020-05-24 23:01:24.056037,Utilities,105.01,Expense
2020-05-26 04:15:31.821214,Salary,5907.86,Income
2020-05-27 09:29:39.586390,Salary,4740.32,Income
2020-05-28 14:43:47.351567,Food & Drink,465.59,Expense
2020-05-29 19:57:55.116744,Entertainment,483.99,Expense
2020-05-31 01:12:02.881921,Salary,5706.02,Income
2020-06-01 06:26:10.647098,Rent,1069.57,Expense
2020-06-02 11:40:18.412274,Salary,4633.84,Income
2020-06-03 16:54:26.177451,Travel,1202.24,Expense
2020-06-04 22:08:33.942628,Salary,5392.06,Income
2020-06-06 03:22:41.707805,Utilities,66.64,Expense
2020-06-07 08:36:49.472981,Utilities,495.23,Expense
2020-06-08 13:50:57.238158,Food & Drink,268.8,Expense
2020-06-09 19:05:05.003335,Salary,5481.54,Income
2020-06-11 00:19:12.768512,Health & Fitness,357.19,Expense
2020-06-12 05:33:20.533689,Rent,1005.51,Expense
2020-06-13 10:47:28.298865,Other,408.85,Expense
2020-06-14 16:01:36.064042,Salary,5826.48,Income
2020-06-15 21:15:43.829219,Shopping,260.73,Expense
2020-06-17 02:29:51.594396,Other,331.98,Expense
2020-06-18 07:43:59.359573,Health & Fitness,401.98,Expense
2020-06-19 12:58:07.124749,Salary,4675.99,Income
2020-06-20 18:12:14.889926,Entertainment,65.11,Expense
2020-06-21 23:26:22.655103,Utilities,37.25,Expense
2020-06-23 04:40:30.420280,Shopping,280.47,Expense
2020-06-24 09:54:38.185456,Rent,1213.58,Expense
2020-06-25 15:08:45.950633,Food & Drink,37.93,Expense
2020-06-26 20:22:53.715810,Other,192.89,Expense
2020-06-28 01:37:01.480987,Food & Drink,270.68,Expense
2020-06-29 06:51:09.246164,Investment,123.59,Expense
2020-06-30 12:05:17.011340,Utilities,60.97,Expense
2020-07-01 17:19:24.776517,Food & Drink,275.05,Expense
2020-07-02 22:33:32.541694,Shopping,325.97,Expense
2020-07-04 03:47:40.306871,Investment,488.41,Expense
2020-07-05 09:01:48.072048,Shopping,175.02,Expense
2020-07-06 14:15:55.837224,Other,150.0,Expense
2020-07-07 19:30:03.602401,Entertainment,57.66,Expense
2020-07-09 00:44:11.367578,Food & Drink,482.07,Expense
2020-07-10 05:58:19.132755,Other,354.07,Expense
2020-07-11 11:12:26.897931,Entertainment,103.18,Expense
2020-07-12 16:26:34.663108,Travel,650.44,Expense
2020-07-13 21:40:42.428285,Shopping,363.01,Expense
2020-07-15 02:54:50.193462,Health & Fitness,154.37,Expense
2020-07-16 08:08:57.958639,Salary,5475.79,Income
2020-07-17 13:23:05.723815,Shopping,313.63,Expense
2020-07-18 18:37:13.488992,Entertainment,138.91,Expense
2020-07-19 23:51:21.254169,Rent,1330.49,Expense
2020-07-21 05:05:29.019346,Food & Drink,75.71,Expense
2020-07-22 10:19:36.784523,Food & Drink,39.55,Expense
2020-07-23 15:33:44.549699,Salary,5407.32,Income
2020-07-24 20:47:52.314876,Shopping,66.96,Expense
2020-07-26 02:02:00.080053,Shopping,247.27,Expense
2020-07-27 07:16:07.845230,Travel,980.93,Expense
2020-07-28 12:30:15.610406,Entertainment,315.61,Expense
2020-07-29 17:44:23.375583,Utilities,41.75,Expense
2020-07-30 22:58:31.140760,Entertainment,320.41,Expense
2020-08-01 04:12:38.905937,Shopping,431.12,Expense
2020-08-02 09:26:46.671114,Health & Fitness,98.21,Expense
2020-08-03 14:40:54.436290,Food & Drink,328.36,Expense
2020-08-04 19:55:02.201467,Food & Drink,301.17,Expense
2020-08-06 01:09:09.966644,Salary,5150.95,Income
2020-08-07 06:23:17.731821,Entertainment,328.78,Expense
2020-08-08 11:37:25.496998,Shopping,281.9,Expense
2020-08-09 16:51:33.262174,Salary,4772.21,Income
2020-08-10 22:05:41.027351,Salary,5810.7,Income
2020-08-12 03:19:48.792528,Travel,324.85,Expense
2020-08-13 08:33:56.557705,Food & Drink,28.75,Expense
2020-08-14 13:48:04.322881,Food & Drink,347.84,Expense
2020-08-15 19:02:12.088058,Food & Drink,173.11,Expense
2020-08-17 00:16:19.853235,Other,31.17,Expense
2020-08-18 05:30:27.618412,Other,155.29,Expense
2020-08-19 10:44:35.383589,Food & Drink,354.43,Expense
2020-08-20 15:58:43.148765,Utilities,441.19,Expense
2020-08-21 21:12:50.913942,Investment,405.67,Expense
2020-08-23 02:26:58.679119,Rent,924.21,Expense
2020-08-24 07:41:06.444296,Investment,407.28,Expense
2020-08-25 12:55:14.209472,Salary,4825.24,Income
2020-08-26 18:09:21.974649,Entertainment,392.68,Expense
2020-08-27 23:23:29.739826,Rent,1451.53,Expense
2020-08-29 04:37:37.505003,Salary,4857.99,Income
2020-08-30 09:51:45.270180,Investment,382.18,Expense
2020-08-31 15:05:53.035356,Food & Drink,453.23,Expense
2020-09-01 20:20:00.800533,Shopping,416.7,Expense
2020-09-03 01:34:08.565710,Rent,1426.87,Expense
2020-09-04 06:48:16.330887,Entertainment,25.2,Expense
2020-09-05 12:02:24.096064,Salary,4182.57,Income
2020-09-06 17:16:31.861240,Rent,1465.04,Expense
2020-09-07 22:30:39.626417,Salary,5146.88,Income
2020-09-09 03:44:47.391594,Utilities,235.25,Expense
2020-09-10 08:58:55.156771,Rent,1030.07,Expense
2020-09-11 14:13:02.921947,Health & Fitness,381.14,Expense
2020-09-12 19:27:10.687124,Other,399.02,Expense
2020-09-14 00:41:18.452301,Food & Drink,257.32,Expense
2020-09-15 05:55:26.217478,Food & Drink,283.77,Expense
2020-09-16 11:09:33.982655,Entertainment,446.1,Expense
2020-09-17 16:23:41.747831,Rent,881.95,Expense
2020-09-18 21:37:49.513008,Food & Drink,385.53,Expense
2020-09-20 02:51:57.278185,Utilities,68.54,Expense
2020-09-21 08:06:05.043362,Food & Drink,356.47,Expense
2020-09-22 13:20:12.808539,Food & Drink,414.49,Expense
2020-09-23 18:34:20.573715,Health & Fitness,59.05,Expense
2020-09-24 23:48:28.338892,Food & Drink,493.59,Expense
2020-09-26 05:02:36.104069,Entertainment,197.91,Expense
2020-09-27 10:16:43.869246,Other,474.68,Expense
2020-09-28 15:30:51.634422,Salary,5506.76,Income
2020-09-29 20:44:59.399599,Entertainment,60.08,Expense
2020-10-01 01:59:07.164776,Investment,288.03,Expense
2020-10-02 07:13:14.929953,Entertainment,455.05,Expense
2020-10-03 12:27:22.695130,Food & Drink,256.46,Expense
2020-10-04 17:41:30.460306,Food & Drink,244.96,Expense
2020-10-05 22:55:38.225483,Food & Drink,77.03,Expense
2020-10-07 04:09:45.990660,Food & Drink,331.62,Expense
2020-10-08 09:23:53.755837,Investment,300.02,Expense
2020-10-09 14:38:01.521014,Salary,4749.74,Income
2020-10-10 19:52:09.286190,Rent,1408.02,Expense
2020-10-12 01:06:17.051367,Travel,1933.8,Expense
2020-10-13 06:20:24.816544,Food & Drink,485.54,Expense
2020-10-14 11:34:32.581721,Food & Drink,447.75,Expense
2020-10-15 16:48:40.346897,Shopping,496.62,Expense
2020-10-16 22:02:48.112074,Food & Drink,285.85,Expense
2020-10-18 03:16:55.877251,Salary,5046.2,Income
2020-10-19 08:31:03.642428,Utilities,353.96,Expense
2020-10-20 13:45:11.407605,Shopping,321.23,Expense
2020-10-21 18:59:19.172781,Utilities,452.56,Expense
2020-10-23 00:13:26.937958,Food & Drink,154.86,Expense
2020-10-24 05:27:34.703135,Salary,5780.53,Income
2020-10-25 10:41:42.468312,Shopping,317.66,Expense
2020-10-26 15:55:50.233488,Rent,931.68,Expense
2020-10-27 21:09:57.998665,Shopping,189.61,Expense
2020-10-29 02:24:05.763842,Utilities,57.31,Expense
2020-10-30 07:38:13.529019,Salary,5972.42,Income
2020-10-31 12:52:21.294196,Health & Fitness,277.33,Expense
2020-11-01 18:06:29.059372,Rent,1369.66,Expense
2020-11-02 23:20:36.824549,Health & Fitness,98.06,Expense
2020-11-04 04:34:44.589726,Salary,5645.07,Income
2020-11-05 09:48:52.354903,Salary,5451.44,Income
2020-11-06 15:03:00.120080,Utilities,220.76,Expense
2020-11-07 20:17:07.885256,Salary,5732.13,Income
2020-11-09 01:31:15.650433,Food & Drink,32.66,Expense
2020-11-10 06:45:23.415610,Entertainment,409.07,Expense
2020-11-11 11:59:31.180787,Salary,4300.83,Income
2020-11-12 17:13:38.945963,Utilities,202.83,Expense
2020-11-13 22:27:46.711140,Salary,5684.24,Income
2020-11-15 03:41:54.476317,Other,244.97,Expense
2020-11-16 08:56:02.241494,Entertainment,151.24,Expense
2020-11-17 14:10:10.006671,Food & Drink,435.07,Expense
2020-11-18 19:24:17.771847,Other,499.86,Expense
2020-11-20 00:38:25.537024,Salary,5110.86,Income
2020-11-21 05:52:33.302201,Investment,473.49,Expense
2020-11-22 11:06:41.067378,Other,138.73,Expense
2020-11-23 16:20:48.832555,Shopping,82.0,Expense
2020-11-24 21:34:56.597731,Salary,5212.35,Income
2020-11-26 02:49:04.362908,Travel,1409.06,Expense
2020-11-27 08:03:12.128085,Utilities,191.92,Expense
2020-11-28 13:17:19.893262,Food & Drink,342.36,Expense
2020-11-29 18:31:27.658438,Shopping,390.71,Expense
2020-11-30 23:45:35.423615,Shopping,429.05,Expense
2020-12-02 04:59:43.188792,Shopping,289.25,Expense
2020-12-03 10:13:50.953969,Salary,4806.97,Income
2020-12-04 15:27:58.719146,Food & Drink,33.82,Expense
2020-12-05 20:42:06.484322,Investment,317.75,Expense
2020-12-07 01:56:14.249499,Health & Fitness,122.22,Expense
2020-12-08 07:10:22.014676,Food & Drink,26.98,Expense
2020-12-09 12:24:29.779853,Rent,1212.94,Expense
2020-12-10 17:38:37.545030,Entertainment,229.99,Expense
2020-12-11 22:52:45.310206,Salary,4696.51,Income
2020-12-13 04:06:53.075383,Shopping,396.15,Expense
2020-12-14 09:21:00.840560,Entertainment,318.6,Expense
2020-12-15 14:35:08.605737,Salary,5899.04,Income
2020-12-16 19:49:16.370913,Food & Drink,464.76,Expense
2020-12-18 01:03:24.136090,Shopping,143.96,Expense
2020-12-19 06:17:31.901267,Shopping,490.42,Expense
2020-12-20 11:31:39.666444,Shopping,177.8,Expense
2020-12-21 16:45:47.431621,Utilities,135.27,Expense
2020-12-22 21:59:55.196797,Food & Drink,81.86,Expense
2020-12-24 03:14:02.961974,Food & Drink,92.91,Expense
2020-12-25 08:28:10.727151,Food & Drink,327.62,Expense
2020-12-26 13:42:18.492328,Travel,822.2,Expense
2020-12-27 18:56:26.257505,Salary,4947.92,Income
2020-12-29 00:10:34.022681,Health & Fitness,102.71,Expense
2020-12-30 05:24:41.787858,Travel,273.56,Expense
2020-12-31 10:38:49.553035,Travel,701.46,Expense
2021-01-01 15:52:57.318212,Travel,359.66,Expense
2021-01-02 21:07:05.083388,Food & Drink,241.17,Expense
2021-01-04 02:21:12.848565,Travel,855.69,Expense
2021-01-05 07:35:20.613742,Shopping,351.39,Expense
2021-01-06 12:49:28.378919,Food & Drink,403.72,Expense
2021-01-07 18:03:36.144096,Utilities,59.24,Expense
2021-01-08 23:17:43.909272,Salary,5841.74,Income
2021-01-10 04:31:51.674449,Food & Drink,152.9,Expense
2021-01-11 09:45:59.439626,Other,379.16,Expense
2021-01-12 15:00:07.204803,Travel,576.83,Expense
2021-01-13 20:14:14.969979,Entertainment,252.57,Expense
2021-01-15 01:28:22.735156,Utilities,197.08,Expense
2021-01-16 06:42:30.500333,Shopping,378.79,Expense
2021-01-17 11:56:38.265510,Food & Drink,141.17,Expense
2021-01-18 17:10:46.030687,Health & Fitness,449.7,Expense
2021-01-19 22:24:53.795863,Shopping,275.41,Expense
2021-01-21 03:39:01.561040,Food & Drink,234.76,Expense
2021-01-22 08:53:09.326217,Shopping,136.39,Expense
2021-01-23 14:07:17.091394,Rent,1064.1,Expense
2021-01-24 19:21:24.856571,Food & Drink,174.6,Expense
2021-01-26 00:35:32.621747,Travel,789.5,Expense
2021-01-27 05:49:40.386924,Food & Drink,447.45,Expense
2021-01-28 11:03:48.152101,Utilities,345.97,Expense
2021-01-29 16:17:55.917278,Other,259.25,Expense
2021-01-30 21:32:03.682454,Food & Drink,277.81,Expense
2021-02-01 02:46:11.447631,Utilities,377.81,Expense
2021-02-02 08:00:19.212808,Entertainment,81.24,Expense
2021-02-03 13:14:26.977985,Rent,1054.16,Expense
2021-02-04 18:28:34.743162,Utilities,293.97,Expense
2021-02-05 23:42:42.508338,Rent,1490.56,Expense
2021-02-07 04:56:50.273515,Utilities,133.87,Expense
2021-02-08 10:10:58.038692,Food & Drink,93.37,Expense
2021-02-09 15:25:05.803869,Travel,489.23,Expense
2021-02-10 20:39:13.569046,Travel,713.17,Expense
2021-02-12 01:53:21.334222,Travel,1814.18,Expense
2021-02-13 07:07:29.099399,Food & Drink,271.77,Expense
2021-02-14 12:21:36.864576,Entertainment,491.54,Expense
2021-02-15 17:35:44.629753,Food & Drink,210.97,Expense
2021-02-16 22:49:52.394929,Salary,5731.01,Income
2021-02-18 04:04:00.160106,Other,143.79,Expense
2021-02-19 09:18:07.925283,Travel,1403.56,Expense
2021-02-20 14:32:15.690460,Salary,5113.53,Income
2021-02-21 19:46:23.455637,Utilities,154.39,Expense
2021-02-23 01:00:31.220813,Investment,109.78,Expense
2021-02-24 06:14:38.985990,Rent,1097.81,Expense
2021-02-25 11:28:46.751167,Shopping,136.36,Expense
2021-02-26 16:42:54.516344,Food & Drink,313.1,Expense
2021-02-27 21:57:02.281521,Rent,1206.87,Expense
2021-03-01 03:11:10.046697,Travel,1066.05,Expense
2021-03-02 08:25:17.811874,Shopping,44.88,Expense
2021-03-03 13:39:25.577051,Rent,894.09,Expense
2021-03-04 18:53:33.342228,Food & Drink,495.18,Expense
2021-03-06 00:07:41.107404,Rent,1366.91,Expense
2021-03-07 05:21:48.872581,Rent,1277.05,Expense
2021-03-08 10:35:56.637758,Investment,305.91,Expense
2021-03-09 15:50:04.402935,Shopping,217.68,Expense
2021-03-10 21:04:12.168112,Rent,1450.67,Expense
2021-03-12 02:18:19.933288,Other,483.21,Expense
2021-03-13 07:32:27.698465,Food & Drink,370.82,Expense
2021-03-14 12:46:35.463642,Salary,4362.47,Income
2021-03-15 18:00:43.228819,Food & Drink,375.74,Expense
2021-03-16 23:14:50.993996,Utilities,424.08,Expense
2021-03-18 04:28:58.759172,Food & Drink,401.73,Expense
2021-03-19 09:43:06.524349,Travel,494.58,Expense
2021-03-20 14:57:14.289526,Travel,1666.23,Expense
2021-03-21 20:11:22.054703,Health & Fitness,271.07,Expense
2021-03-23 01:25:29.819879,Rent,1414.04,Expense
2021-03-24 06:39:37.585056,Entertainment,411.97,Expense
2021-03-25 11:53:45.350233,Entertainment,200.93,Expense
2021-03-26 17:07:53.115410,Shopping,164.66,Expense
2021-03-27 22:22:00.880587,Investment,261.31,Expense
2021-03-29 03:36:08.645763,Travel,1819.23,Expense
2021-03-30 08:50:16.410940,Entertainment,280.91,Expense
2021-03-31 14:04:24.176117,Salary,5248.48,Income
2021-04-01 19:18:31.941294,Food & Drink,471.12,Expense
2021-04-03 00:32:39.706470,Utilities,180.75,Expense
2021-04-04 05:46:47.471647,Food & Drink,401.13,Expense
2021-04-05 11:00:55.236824,Utilities,276.06,Expense
2021-04-06 16:15:03.002001,Salary,5577.19,Income
2021-04-07 21:29:10.767178,Travel,761.1,Expense
2021-04-09 02:43:18.532354,Travel,1539.1,Expense
2021-04-10 07:57:26.297531,Food & Drink,293.55,Expense
2021-04-11 13:11:34.062708,Investment,440.85,Expense
2021-04-12 18:25:41.827885,Rent,1374.88,Expense
2021-04-13 23:39:49.593062,Food & Drink,426.3,Expense
2021-04-15 04:53:57.358238,Food & Drink,210.7,Expense
2021-04-16 10:08:05.123415,Other,91.96,Expense
2021-04-17 15:22:12.888592,Travel,1500.05,Expense
2021-04-18 20:36:20.653769,Investment,327.75,Expense
2021-04-20 01:50:28.418945,Health & Fitness,280.51,Expense
2021-04-21 07:04:36.184122,Rent,1041.99,Expense
2021-04-22 12:18:43.949299,Travel,1835.21,Expense
2021-04-23 17:32:51.714476,Utilities,212.41,Expense
2021-04-24 22:46:59.479653,Shopping,474.7,Expense
2021-04-26 04:01:07.244829,Travel,1255.21,Expense
2021-04-27 09:15:15.010006,Shopping,313.5,Expense
2021-04-28 14:29:22.775183,Food & Drink,438.62,Expense
2021-04-29 19:43:30.540360,Salary,5130.27,Income
2021-05-01 00:57:38.305537,Health & Fitness,462.8,Expense
2021-05-02 06:11:46.070713,Health & Fitness,93.22,Expense
2021-05-03 11:25:53.835890,Utilities,311.22,Expense
2021-05-04 16:40:01.601067,Entertainment,373.49,Expense
2021-05-05 21:54:09.366244,Salary,5851.14,Income
2021-05-07 03:08:17.131420,Shopping,74.35,Expense
2021-05-08 08:22:24.896597,Salary,5677.8,Income
2021-05-09 13:36:32.661774,Food & Drink,462.0,Expense
2021-05-10 18:50:40.426951,Salary,5037.68,Income
2021-05-12 00:04:48.192128,Utilities,211.52,Expense
2021-05-13 05:18:55.957304,Food & Drink,180.89,Expense
2021-05-14 10:33:03.722481,Other,22.22,Expense
2021-05-15 15:47:11.487658,Rent,1078.72,Expense
2021-05-16 21:01:19.252835,Shopping,461.53,Expense
2021-05-18 02:15:27.018012,Rent,1042.87,Expense
2021-05-19 07:29:34.783188,Investment,237.06,Expense
2021-05-20 12:43:42.548365,Travel,1014.39,Expense
2021-05-21 17:57:50.313542,Food & Drink,104.67,Expense
2021-05-22 23:11:58.078719,Shopping,221.08,Expense
2021-05-24 04:26:05.843895,Salary,4724.79,Income
2021-05-25 09:40:13.609072,Utilities,323.49,Expense
2021-05-26 14:54:21.374249,Food & Drink,338.5,Expense
2021-05-27 20:08:29.139426,Travel,1929.93,Expense
2021-05-29 01:22:36.904603,Food & Drink,219.02,Expense
2021-05-30 06:36:44.669779,Food & Drink,498.5,Expense
2021-05-31 11:50:52.434956,Shopping,305.78,Expense
2021-06-01 17:05:00.200133,Food & Drink,379.98,Expense
2021-06-02 22:19:07.965310,Travel,1816.5,Expense
2021-06-04 03:33:15.730486,Travel,543.24,Expense
2021-06-05 08:47:23.495663,Food & Drink,246.59,Expense
2021-06-06 14:01:31.260840,Shopping,51.54,Expense
2021-06-07 19:15:39.026017,Investment,237.58,Expense
2021-06-09 00:29:46.791194,Shopping,231.57,Expense
2021-06-10 05:43:54.556370,Entertainment,288.63,Expense
2021-06-11 10:58:02.321547,Travel,527.47,Expense
2021-06-12 16:12:10.086724,Salary,5892.23,Income
2021-06-13 21:26:17.851901,Entertainment,149.96,Expense
2021-06-15 02:40:25.617078,Utilities,216.19,Expense
2021-06-16 07:54:33.382254,Food & Drink,94.95,Expense
2021-06-17 13:08:41.147431,Health & Fitness,336.28,Expense
2021-06-18 18:22:48.912608,Food & Drink,126.55,Expense
2021-06-19 23:36:56.677785,Travel,1409.41,Expense
2021-06-21 04:51:04.442961,Food & Drink,69.97,Expense
2021-06-22 10:05:12.208138,Other,105.7,Expense
2021-06-23 15:19:19.973315,Health & Fitness,134.33,Expense
2021-06-24 20:33:27.738492,Food & Drink,136.72,Expense
2021-06-26 01:47:35.503669,Investment,430.73,Expense
2021-06-27 07:01:43.268845,Other,210.65,Expense
2021-06-28 12:15:51.034022,Health & Fitness,118.39,Expense
2021-06-29 17:29:58.799199,Rent,1427.44,Expense
2021-06-30 22:44:06.564376,Food & Drink,61.04,Expense
2021-07-02 03:58:14.329553,Travel,247.76,Expense
2021-07-03 09:12:22.094729,Travel,1249.47,Expense
2021-07-04 14:26:29.859906,Entertainment,448.48,Expense
2021-07-05 19:40:37.625083,Other,184.07,Expense
2021-07-07 00:54:45.390260,Rent,1065.78,Expense
2021-07-08 06:08:53.155436,Utilities,148.67,Expense
2021-07-09 11:23:00.920613,Utilities,216.52,Expense
2021-07-10 16:37:08.685790,Shopping,229.34,Expense
2021-07-11 21:51:16.450967,Rent,1463.92,Expense
2021-07-13 03:05:24.216144,Investment,87.25,Expense
2021-07-14 08:19:31.981320,Salary,4974.86,Income
2021-07-15 13:33:39.746497,Salary,5599.71,Income
2021-07-16 18:47:47.511674,Entertainment,30.79,Expense
2021-07-18 00:01:55.276851,Rent,1179.14,Expense
2021-07-19 05:16:03.042028,Utilities,143.79,Expense
2021-07-20 10:30:10.807204,Food & Drink,420.77,Expense
2021-07-21 15:44:18.572381,Salary,5051.38,Income
2021-07-22 20:58:26.337558,Travel,690.15,Expense
2021-07-24 02:12:34.102735,Food & Drink,458.86,Expense
2021-07-25 07:26:41.867911,Food & Drink,296.73,Expense
2021-07-26 12:40:49.633088,Rent,1187.92,Expense
2021-07-27 17:54:57.398265,Health & Fitness,418.28,Expense
2021-07-28 23:09:05.163442,Travel,219.79,Expense
2021-07-30 04:23:12.928619,Food & Drink,452.01,Expense
2021-07-31 09:37:20.693795,Salary,5194.83,Income
2021-08-01 14:51:28.458972,Utilities,339.22,Expense
2021-08-02 20:05:36.224149,Travel,1845.94,Expense
